Comment,Designator,Footprint,LCSC,Quantity
0R,"R3,R5,R6",R_0402_1005Metric,C60485,3
100nF,"C16,C17",C_0402_1005Metric,C53084459,2
10K,R1,R_0402_1005Metric,C60490,1
1uF,"C11,C2,C3,C4,C5,C6,C7,C8",C_0402_1005Metric,C1518208,8
2.2K,"R2,R4",R_0402_1005Metric,C2906865,2
22pF,"C1,C10,C12,C13,C14,C15,C9",C_0402_1005Metric,C106203,7
AudioJack3,"J1,J2",Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,C4991872,2
ES8311,IC1,QFN40P300X300X60-21N,C962342,1
Conn_01x06_Pin,J4,PinHeader_1x06_P2.54mm_Vertical,,1
Conn_01x06_Pin,J3,PinHeader_1x06_P2.54mm_Vertical,,1
